iata,lon,iso,status,name,continent,type,lat,size
BGJ,-14.5,IS,1,,EU,airport,66,small
BJD,-14.75,IS,1,,EU,airport,66.066666,small
BLO,-20.3,IS,1,Hjaltabakki Airport,EU,airport,65.666664,small
BQD,,IS,1,,EU,airport,,small
BXV,-14,IS,1,,EU,airport,64.76667,small
DJU,-14.268333,IS,1,,EU,airport,64.650276,small
AES,6.116605,NO,1,"Ålesund Airport, Vigra",EU,airport,62.559643,medium
FAS,-14.016667,IS,1,,EU,airport,64.95,small
FAG,-16.65,IS,1,,EU,airport,63.88333,small
GUU,-23.166668,IS,1,,EU,airport,64.96667,small
GJR,-21.35,IS,1,,EU,airport,65.98333,small
GRY,-18.016666,IS,1,,EU,airport,66.566666,small
HVK,-22.466667,IS,1,,EU,airport,65.7,small
HFN,-15.266667,IS,1,Hornafjordur Airport,EU,airport,64.28333,medium
FLI,-23.7,IS,1,Holt Airport,EU,airport,65.98333,small
HZK,-17.427778,IS,1,Husavik Airport,EU,airport,65.95528,medium
HVM,-21,IS,1,,EU,airport,65.416664,small
HLO,15.5,IS,1,,EU,airport,29.5,small
AGH,12.8625,SE,1,Ängelholm-Helsingborg Airport,EU,airport,56.293056,medium
KEF,-22.624283,IS,1,Keflavik International Airport,EU,airport,63.997765,large
OPA,-16.483334,IS,1,,EU,airport,66.416664,small
SAK,-19.65,IS,1,,EU,airport,65.75,small
NOR,-22,IS,1,,EU,airport,65.166664,small
OFJ,-19.833332,IS,1,,EU,airport,65.583336,small
PFJ,-19.008333,IS,1,Patreksfjordur Airport,EU,airport,65.03333,medium
RHA,-21.416668,IS,1,,EU,airport,65.166664,small
OLI,-23.983334,IS,1,Rif Airport,EU,airport,65,small
RFN,-15.016667,IS,1,,EU,airport,66.416664,small
REK,,IS,1,Reykjavik Airport,EU,airport,,medium
MVA,-16.966667,IS,1,,EU,airport,65.61667,small
SIJ,-18.933332,IS,1,Siglufjordur Airport,EU,airport,66.166664,medium
SYK,-22.8,IS,1,,EU,airport,65.1,small
TEY,-23.45,IS,1,,EU,airport,65.88333,small
THO,,IS,,,EU,closed,,
THO,-15.335653,IS,1,Thorshofn Airport,EU,airport,66.219734,small
VEY,-20.277779,IS,1,Vestmannaeyjar Airport,EU,airport,63.426388,medium
VPN,-14.846748,IS,1,,EU,airport,65.72167,small
BJE,,SD,1,Baleela Airport,AF,airport,,small
BJQ,,OM,1,Bahja Airport,AS,airport,,small
AGP,-4.489616,ES,1,Pablo Ruiz Picasso Airport,EU,airport,36.675182,large
BLM,-74.01667,MX,1,Bahia De Los Angelos South,NA,airport,40.183334,small
BMQ,39.833332,KE,1,Bamburi Airport,AF,airport,-4.5,small
RBQ,-67.55,BO,1,Rurenabaque Airport,SA,airport,-14.45,small
BVL,-63.583332,BO,1,Baures Airport,SA,airport,-13.583333,small
TUZ,,BR,,,SA,closed,,
ALT,,BR,,Alenquer Airport,SA,closed,,
SWM,,BR,,Suia-Missu Airport,SA,closed,,
NSB,,BS,1,Bimini North Seaplane Base,NA,seaplanes,,
HUK,21.75,BW,1,Hukuntsi Airport,AF,airport,-23.983334,small
BYV,,LK,1,Beira Lake Seaplane Base,AS,seaplanes,,
BCV,-88.77904,BZ,1,Belmopan Airport,NA,airport,17.270498,small
BGK,-88.4,BZ,1,Big Creek Airport,NA,airport,16.516666,medium
CUK,-88.02956,BZ,1,Caye Caulker Airport,NA,airport,17.735527,medium
CYC,-88.833336,BZ,1,Caye Chapel Airport,NA,airport,17.666668,medium
CZH,-88.410675,BZ,1,Corozal Municipal Airport,NA,airport,18.382334,medium
DGA,-88.23039,BZ,1,Dangriga Airport,NA,airport,16.982765,medium
INB,-88.43826,BZ,1,Independence Airport,NA,airport,16.535536,small
MDB,-88.32056,BZ,1,Melinda Airport,NA,airport,16.998611,small
ORZ,-88.75,BZ,1,Orange Walk Airport,NA,airport,17.166668,small
PLJ,-88.360886,BZ,1,Placencia Airport,NA,airport,16.53708,medium
PND,-88.816666,BZ,1,Punta Gorda Airport,NA,airport,16.1,medium
SJX,-88.333336,BZ,1,Sartaneja Airport,NA,airport,18.3,medium
SPR,-87.96571,BZ,1,San Pedro Airport,NA,airport,17.917067,medium
SQS,-89.03333,BZ,1,Matthew Spain Airport,NA,airport,17.183332,small
STU,-88.45,BZ,1,Santa Cruz Airport,NA,airport,18.266666,small
SVK,-88.34,BZ,1,Silver Creek Airport,NA,airport,16.7253,small
TZA,-88.191666,BZ,1,Belize City Municipal Airport,NA,airport,17.51639,medium
BZB,35.49167,MZ,1,Bazaruto Island Airport,AF,airport,-21.534721,medium
YUJ,,CA,,Lady Franklin Point Airport,NA,closed,,
YWO,,CA,,Lupin Airport,NA,closed,,
YTJ,,CA,,Terrace Bay Airport,NA,closed,,
YMV,,CA,1,Mary River Aerodrome,NA,airport,,small
YBW,,CA,1,Bedwell Harbour Seaplane Base,NA,seaplanes,,
ZNA,,CA,1,Nanaimo Harbour Water Airport,NA,seaplanes,,
YZZ,-117.6,CA,1,Trail Airport,NA,airport,49.066666,small
